Iteraciones,Energia_liberada,Energia_total
24500,0.000000,0.272101
24600,0.000000,0.303199
24700,0.000000,0.272717
24800,0.000000,0.281057
24900,0.000000,0.272820
25000,0.000000,0.271336
25100,0.000000,0.278024
25200,0.000000,0.267222
25300,0.000000,0.248630
25400,0.000000,0.255342
25500,0.000000,0.268680
25600,0.000000,0.258833
25700,0.000000,0.242588
25800,0.000000,0.216156
25900,0.000000,0.255887
26000,0.000000,0.267085
26100,0.000000,0.264088
26200,0.000000,0.243316
26300,0.000000,0.256007
26400,0.000000,0.268172
26500,0.000000,0.261629
26600,0.000000,0.268552
26700,0.000000,0.262988
26800,0.000000,0.238319
26900,0.000000,0.225697
27000,0.000000,0.237963
27100,0.000000,0.264581
27200,0.000000,0.242043
27300,0.000000,0.250818
27400,0.000000,0.245215
27500,0.000000,0.244552
27600,0.000000,0.228540
27700,0.000000,0.249483
27800,0.000000,0.249703
27900,0.000000,0.286893
28000,0.000000,0.269914
28100,0.000000,0.254764
28200,0.000000,0.218216
28300,0.000000,0.230467
28400,0.000000,0.249540
28500,0.000000,0.243524
28600,0.000000,0.253980
28700,0.000000,0.264268
28800,0.000000,0.287550
28900,0.000000,0.294433
29000,0.000000,0.250600
29100,0.000000,0.254469
29200,0.000000,0.248464
29300,0.000000,0.296746
29400,0.000000,0.272461
29500,0.000000,0.224777
29600,0.000000,0.255875
29700,0.000000,0.285162
29800,0.000000,0.285331
29900,0.000000,0.248164
30000,0.000000,0.240365
30100,0.000000,0.269619
30200,0.000000,0.239146
30300,0.000000,0.229399
30400,0.000000,0.271686
30500,0.000000,0.260899
30600,0.000000,0.254458
30700,0.000000,0.257230
30800,0.000000,0.259435
30900,0.000000,0.265103
31000,0.000000,0.268075
31100,0.000000,0.303853
31200,0.000000,0.295720
31300,0.000000,0.293936
31400,0.000000,0.285018
31500,0.000000,0.256423
31600,0.000000,0.251192
31700,0.000000,0.286483
31800,0.000000,0.274429
31900,0.000000,0.287287
32000,0.000000,0.278160
32100,0.000000,0.267505
32200,0.000000,0.281407
32300,0.000000,0.270166
32400,0.000000,0.262821
32500,0.000000,0.260444
32600,0.000000,0.262766
32700,0.000000,0.286958
32800,0.000000,0.292504
32900,0.000000,0.262302
33000,0.000000,0.268098
33100,0.000000,0.273208
33200,0.000000,0.293467
33300,0.000000,0.276614
33400,0.000000,0.247168
33500,0.000000,0.250730
33600,0.000000,0.245542
33700,0.000000,0.284920
33800,0.000000,0.285232
33900,0.000000,0.294235
34000,0.000000,0.292459
34100,0.000000,0.255379
34200,0.000000,0.281535
34300,0.000000,0.266323
34400,0.000000,0.261953
34500,0.000000,0.291919
34600,0.000000,0.305422
34700,0.000000,0.271161
34800,0.000000,0.273257
34900,0.000000,0.265757
35000,0.000000,0.294589
35100,0.000000,0.263593
35200,0.000000,0.245330
35300,0.000000,0.261680
35400,0.000000,0.272788
35500,0.000000,0.272553
35600,0.000000,0.273448
35700,0.000000,0.273353
35800,0.000000,0.293769
35900,0.000000,0.276031
36000,0.000000,0.274810
36100,0.000000,0.258999
36200,0.000000,0.287188
36300,0.000000,0.248645
36400,0.000000,0.258395
36500,0.000000,0.263506
36600,0.000000,0.274094
36700,0.000000,0.269534
36800,0.000000,0.266437
36900,0.000000,0.285006
37000,0.000000,0.294600
37100,0.000000,0.275817
37200,0.000000,0.266070
37300,0.000000,0.253607
37400,0.000000,0.249795
37500,0.000000,0.221856
37600,0.000000,0.224530
37700,0.000000,0.248768
37800,0.000000,0.269052
37900,0.000000,0.284649
38000,0.000000,0.304093
38100,0.000000,0.274211
38200,0.000000,0.282795
38300,0.000000,0.269917
38400,0.000000,0.292624
38500,0.000000,0.280716
38600,0.000000,0.267490
38700,0.000000,0.276988
38800,0.000000,0.289635
38900,0.000000,0.290232
39000,0.000000,0.265245
39100,0.000000,0.264520
39200,0.000000,0.250780
39300,0.000000,0.254688
39400,0.000000,0.271822
39500,0.000000,0.271729
39600,0.000000,0.244947
